year,substance,emit_way,unit,quantity
1997,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,421000
1998,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,1566000
1999,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,468000
2000,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,189000
2001,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,129000
2002,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,49000
2003,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,314000
2004,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,22000
2005,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,23000
2006,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,21000
2007,"1,1,2,2-Tetrachloroethane",Releases to Air,grams,0
1995,"1,1,2-Trichloroethane",Releases to Air,grams,20000
1996,"1,1,2-Trichloroethane",Releases to Air,grams,4370000
1997,"1,1,2-Trichloroethane",Releases to Air,grams,7559000
1998,"1,1,2-Trichloroethane",Releases to Air,grams,1994000
1999,"1,1,2-Trichloroethane",Releases to Air,grams,1817000
2000,"1,1,2-Trichloroethane",Releases to Air,grams,1297000
2001,"1,1,2-Trichloroethane",Releases to Air,grams,588000
2002,"1,1,2-Trichloroethane",Releases to Air,grams,606000
2003,"1,1,2-Trichloroethane",Releases to Air,grams,864000
2004,"1,1,2-Trichloroethane",Releases to Air,grams,634000
2005,"1,1,2-Trichloroethane",Releases to Air,grams,94000
2006,"1,1,2-Trichloroethane",Releases to Air,grams,109000
2007,"1,1,2-Trichloroethane",Releases to Air,grams,0
2011,"1,1,2-Trichloroethane",Releases to Air,grams,82000
2012,"1,1,2-Trichloroethane",Releases to Air,grams,84000
2016,"1,1,2-Trichloroethane",Releases to Air,grams,3360000
2000,"1,1-Methylenebis(4-isocyanatocyclohexane)",Releases to Air,grams,2000
2001,"1,1-Methylenebis(4-isocyanatocyclohexane)",Releases to Air,grams,2000
2002,"1,1-Methylenebis(4-isocyanatocyclohexane)",Releases to Air,grams,2000
2003,"1,1-Methylenebis(4-isocyanatocyclohexane)",Releases to Air,grams,1000
2002,"1,2,4-Trichlorobenzene",Releases to Air,grams,2221000
2003,"1,2,4-Trichlorobenzene",Releases to Air,grams,84000
2004,"1,2,4-Trichlorobenzene",Releases to Air,grams,2300000
2005,"1,2,4-Trichlorobenzene",Releases to Air,grams,595000
2006,"1,2,4-Trichlorobenzene",Releases to Air,grams,876000
2007,"1,2,4-Trichlorobenzene",Releases to Air,grams,12425000
2008,"1,2,4-Trichlorobenzene",Releases to Air,grams,12474000
2009,"1,2,4-Trichlorobenzene",Releases to Air,grams,870000
2010,"1,2,4-Trichlorobenzene",Releases to Air,grams,1136900
2011,"1,2,4-Trichlorobenzene",Releases to Air,grams,1565900
2012,"1,2,4-Trichlorobenzene",Releases to Air,grams,1476100
2013,"1,2,4-Trichlorobenzene",Releases to Air,grams,728400
2014,"1,2,4-Trichlorobenzene",Releases to Air,grams,578600
2015,"1,2,4-Trichlorobenzene",Releases to Air,grams,770100
2016,"1,2,4-Trichlorobenzene",Releases to Air,grams,1168000
2017,"1,2,4-Trichlorobenzene",Releases to Air,grams,1168000
2018,"1,2,4-Trichlorobenzene",Releases to Air,grams,1168000
2019,"1,2,4-Trichlorobenzene",Releases to Air,grams,12
2022,"1,2,4-Trichlorobenzene",Releases to Air,grams,215540
1993,"1,2,4-Trimethylbenzene",Releases to Air,grams,425171000
1994,"1,2,4-Trimethylbenzene",Releases to Air,grams,392639000
