emit_way,substance,unit,total_quantity
air,"1,1,2,2-Tetrachloroethane",grams,3202000
air,"1,1,2-Trichloroethane",grams,23478000
air,"1,1-Methylenebis(4-isocyanatocyclohexane)",grams,7000
air,"1,2,4-Trichlorobenzene",grams,41820552
air,"1,2,4-Trimethylbenzene",grams,19560249483
air,"1,2-Butylene oxide",grams,204000
air,"1,2-Dichloroethane",grams,179527471
air,"1,2-Dichloropropane",grams,10400
air,"1,3-Butadiene",grams,2302511949
air,"1,4-Benzenediamine, N,N'-mixed phenyl and tolyl derivatives",grams,6697.76
air,"1,4-Dioxane",grams,103577700
air,1-Nitropyrene,grams,28119.199999999997
air,"2,4-Dinitrotoluene",grams,23080000
air,"2,6-Di-t-butyl-4-methylphenol",grams,11854000
air,2-(2-Methoxyethoxy)ethanol,grams,179797
air,2-Butoxyethanol,grams,15944369713
air,2-Ethoxyethanol,grams,110233100
air,2-Ethoxyethyl acetate,grams,203738000
air,2-Mercaptobenzothiazole,grams,15502100
air,2-Methoxyethanol,grams,125038600
air,"2-Propanone, reaction products with diphenylamine",grams,607032.902
air,3-Methylcholanthrene,grams,10447.84900000001
air,5-Methylchrysene,grams,5429.500000000002
air,"7,12-Dimethylbenz[a]anthracene",grams,28989.368
air,"7H-Dibenzo[c,g]carbazole",grams,3177220.1259999992
air,Acenaphthene,grams,131769305.254
air,Acenaphthylene,grams,381198795.2440003
air,Acetaldehyde,grams,23314205409
air,Acetone,grams,22629093000
air,Acetonitrile,grams,943786100
air,Acetophenone,grams,115238400
air,Acrolein,grams,2438424698
air,Acrylamide,grams,6904459
air,Acrylic acid (and its salts),grams,56849486
air,Acrylonitrile,grams,272461844.7
air,"Alkanes, C10-13, chloro",grams,0
air,Allyl alcohol,grams,2649500
air,Aluminum (fume or dust only),grams,5686670127
air,Aluminum oxide (fibrous forms only),grams,60282344
air,Ammonia (total),grams,514586112117
air,Ammonium nitrate (solution),grams,547148000
air,Ammonium sulfate (solution),grams,255298000
air,Aniline (and its salts),grams,1602200
air,Anthracene,grams,282357461.924
air,Antimony (and its compounds),grams,141187813
air,Arsenic (and its compounds),grams,2643847022.3199997
air,Asbestos,grams,707000
air,Asbestos (friable form only),grams,4914200
air,Benz[a]anthracene,grams,231356706.96
air,Benzene,grams,30128774184
air,Benzo[a]pyrene,grams,169453062.95499986
air,Benzo[b]fluoranthene,grams,333114312.11100054
air,Benzo[e]pyrene,grams,262347738.99599996
