NPRI_id,province,latitude,longitude
1,AB,54.923116,-112.861867
4,MB,50.568600000000004,-96.2267
7,QC,45.5797,-73.7217
9,ON,46.3098,-79.4412
11,AB,53.5823,-113.5886
13,BC,49.2046,-123.1419
15,ON,43.24119,-79.74945
18,QC,48.4211,-71.1898
21,ON,43.86669,-79.73171
22,ON,45.4358,-76.3372
25,ON,43.1629,-80.2464
28,ON,45.0189,-74.7551
31,ON,42.31052,-83.04612
34,ON,43.69226,-79.59705
37,ON,42.9509,-82.414
40,QC,45.582729,-71.995388
43,ON,43.6533,-79.8953
49,QC,45.388,-71.9428
52,QC,45.7406,-73.6942
54,NB,47.4717,-65.8897
57,QC,47.35657,-70.05919
61,NS,44.66378,-63.56803
64,ON,43.4036,-80.4608
65,ON,43.6297,-79.5231
70,ON,43.7028,-79.7039
78,QC,45.4542,-73.8278
79,AB,53.5894,-113.57470000000001
87,ON,43.5381,-80.3186
90,ON,43.7172,-79.2832
92,ON,44.7775,-79.9147
96,ON,43.7941,-79.5029
99,QC,48.25072,-78.44184
100,QC,45.3004,-73.7522
105,QC,45.39179,-72.75488
106,AB,55.99857,-118.5298
108,ON,48.5212,-81.1218
109,ON,43.2344,-79.7439
110,ON,44.8847,-76.0172
111,ON,43.7639,-79.5408
112,ON,43.8112,-79.4898
113,ON,43.6587,-79.3373
116,QC,45.8795,-72.5458
117,ON,43.595,-79.5383
120,ON,43.4988,-79.6446
123,ON,43.8236,-79.3514
125,ON,43.86123,-78.90416
127,ON,43.3507,-80.5347
135,ON,43.3475,-79.8008
136,ON,42.8486,-80.3197
139,ON,43.6956,-79.7328
144,QC,45.47533,-73.70661
147,QC,48.4583,-78.95
151,ON,43.40031,-80.44804
152,AB,51.00095,-113.98028
156,QC,45.4913,-73.76257
158,QC,45.5973,-73.5841
159,MB,49.11148,-97.5601
161,ON,43.27022,-79.84949
163,SK,53.3252,-104.027
165,QC,45.4889,-73.5516
167,ON,43.6728,-79.4681
169,AB,52.8292,-110.8592
171,ON,43.6628,-79.6583
174,ON,43.1483,-80.2556
177,ON,43.9578,-78.1197
178,ON,42.97912,-81.2449
179,ON,43.7083,-79.5681
181,ON,43.70977,-79.56632
183,QC,45.8756,-72.5442
185,BC,49.17453,-122.93186
188,QC,45.44856,-73.67629
191,ON,42.25179,-83.10071
192,AB,50.9942,-113.9857
193,BC,49.1774,-122.931
194,ON,43.8792,-79.2792
196,ON,43.0442,-80.8807
199,ON,43.5958,-79.5406
201,ON,44.2754,-78.3165
203,ON,48.4758,-89.1514
204,ON,48.3308,-89.2692
205,ON,48.3989,-89.225
207,ON,43.6972,-79.7044
209,ON,44.3077,-81.55458
210,ON,43.7375,-79.6931
211,QC,46.828385,-71.220097
214,QC,45.6483,-73.5172
215,ON,43.5522,-80.284
216,ON,43.7214,-79.2781
222,ON,43.04687,-79.15261
223,AB,56.37297,-117.18442
225,ON,42.3903,-82.2136
227,ON,44.734,-79.851
231,ON,42.8475,-80.4897
238,ON,43.3944,-80.329
239,ON,44.1114,-77.5878
241,ON,51.4153,-90.1028
245,ON,43.685,-79.7194
247,ON,43.60809,-79.57381
249,ON,43.8347,-79.0279
250,AB,53.83628,-113.13256
252,QC,45.4501,-73.7363
253,QC,45.5842,-73.7533
254,QC,45.5849,-73.7518
255,ON,44.1806,-77.3692
256,ON,45.4179,-75.6503
257,QC,45.65775,-73.54224
259,ON,43.7195,-79.5237
264,ON,43.62893,-79.6333
267,AB,53.344,-114.305
269,AB,53.5873,-113.363
271,QC,45.5917,-76.6625
274,ON,42.9484,-79.047
276,ON,42.26166,-83.09557
279,QC,49.0254,-76.9538
280,AB,53.7332,-113.175
281,QC,45.7317,-73.4033
282,ON,43.7447,-79.5297
284,QC,45.5641,-73.4406
286,ON,43.84802,-79.03599
299,ON,43.7079,-79.359
302,QC,45.27428,-72.11257
305,ON,43.4203,-79.7212
308,QC,45.7098,-73.42185
311,AB,53.5799,-113.5764
312,BC,54.389,-126.6517
315,ON,43.9483,-78.2847
316,ON,43.777,-79.5279
319,ON,46.2667,-79.3778
321,ON,43.7632,-79.2698
322,QC,45.28472,-74.07814
326,ON,43.7125,-79.6606
327,ON,43.69374,-79.50446
330,QC,45.6118,-73.5678
333,BC,50.0738,-125.2833
341,ON,43.6879,-79.7093
344,ON,43.1101,-79.2092
351,ON,42.9977,-79.2389
354,ON,43.367,-79.7987
355,AB,53.776,-113.0886
358,QC,45.5883,-73.62
359,QC,45.5653,-74.3361
360,QC,45.36065,-73.52566
361,ON,43.7948,-79.9261
362,BC,49.1866,-122.9785
363,BC,48.4628,-123.5735
365,BC,48.4664,-123.5846
367,BC,48.4592,-123.5514
369,MB,49.8394,-97.1758
371,BC,49.2004,-123.0772
373,QC,45.4749,-73.8113
374,ON,43.7644,-79.1697
375,QC,45.29173,-72.96116
376,ON,43.0922,-79.2061
377,QC,45.5722,-73.4556
380,ON,43.57215,-79.55995
383,ON,43.62574,-79.54168
384,ON,43.605,-79.52
389,ON,44.8876,-76.2444
390,QC,45.537,-73.4973
391,QC,45.6977,-73.4151
393,ON,43.0967,-80.4311
394,BC,49.3711,-120.0231
397,ON,44.1486,-79.8408
400,ON,43.364,-79.8051
403,AB,53.2885,-110.0183
405,BC,53.9268,-122.7028
407,AB,52.1463,-115.33
409,SK,53.26311,-109.94889
417,ON,43.6992,-79.4611
420,QC,45.571,-73.1984
421,BC,49.1981,-123.1096
422,ON,43.6269,-79.6647
423,ON,43.7841,-79.2763
424,AB,53.0481,-113.921
426,AB,50.7477,-114.4947
428,NT,65.2873,-126.8812
430,AB,53.3546,-113.715
432,AB,54.9527,-119.1953
