reporting_year,total_quantity
1993,179330.54800000065
1994,129705.22600000155
1995,144093.73000000147
1996,123683.9020000013
1997,145908.07900000174
1998,138125.5920000017
1999,149117.2370000018
2000,736987.2208830012
2001,790814.7892620129
2002,5718128.772980015
2003,5786403.205988064
2004,5735680.3225940075
2005,5503805.530609005
2006,5532400.93600197
2007,5648899.167331027
2008,5246952.184223056
2009,4617180.763633033
2010,4575174.469183954
2011,4297966.767822933
2012,4331215.362304967
2013,4258101.651992975
2014,4659425.911934965
2015,3903317.3033599653
2016,3860247.3983609737
2017,3927344.158440985
2018,3828675.970335946
2019,3768852.336242042
2020,3518140.676043966
2021,3588715.914921971
2022,3561849.2186869495
