reporting_year,total_quantity
1993,83184.81000000006
1994,29040.859390000023
1995,60019.21940999989
1996,59715.332186999796
1997,91030.67999999982
1998,85405.94999999995
1999,276724.1909999998
2000,357267.21799999964
2001,415228.21099999896
2002,4518463.845999993
2003,4431193.872000012
2004,5713478.543982001
2005,6926393.322999995
2006,49355404.498999804
2007,55847496.005217046
2008,57550202.649782926
2009,56822298.89461224
2010,54874046.89140021
2011,67102223.938000046
2012,61992765.3288002
2013,50603543.08480014
2014,43982347.993959956
2015,48852695.291081086
2016,61151355.7478001
2017,64574163.25552003
2018,72545301.85664207
2019,110066356.21021812
2020,105278193.79236284
2021,108027649.70078
2022,102499502.1015891
