province,group,total_quantity
AB,On-site Disposal,45980603.10082486
BC,On-site Disposal,45217168.76743619
MB,On-site Disposal,51748218.908348024
NB,On-site Disposal,214626899.13631302
NL,On-site Disposal,14461305.073838
NS,On-site Disposal,27533525.03195401
NT,On-site Disposal,4004060.2624749914
NU,On-site Disposal,164535857.2608299
ON,On-site Disposal,209435446.25407115
PE,On-site Disposal,245.82773
QC,On-site Disposal,302965508.7940096
SK,On-site Disposal,27943856.10750889
YT,On-site Disposal,3455263.795700001
