substance_name,cas_number,total_quantity
Arsenic (and its compounds),NA - 02,539160290.7153959
Lead (and its compounds),NA - 08,490244489.2238394
Cobalt (and its compounds),NA - 05,80129200.79634118
Cadmium (and its compounds),NA - 03,27579377.823061015
Selenium (and its compounds),NA - 12,13939844.051610008
Hydrogen sulphide,7783-06-4,7547373.779755008
Manganese (and its compounds),NA - 09,5765816.584682971
Hexavalent chromium (and its compounds),NA - 19,3833535.592257006
Phosphorus (total),NA - 22,3104800.4097530036
Phenanthrene,85-01-8,2310169.0406980007
