reporting_year,substance_name,total_quantity
1993,Lead (and its compounds),1645.7810000000002
1993,Cobalt (and its compounds),84.53
1993,Arsenic (and its compounds),19.087
1993,Selenium (and its compounds),2.247
1993,Cadmium (and its compounds),1.035
1994,Arsenic (and its compounds),3827.01472
1994,Lead (and its compounds),3270.9166600000003
1994,Selenium (and its compounds),93.3054
1994,Cadmium (and its compounds),31.03095
1994,Cobalt (and its compounds),11.768
1995,Arsenic (and its compounds),3617.121
1995,Lead (and its compounds),3005.3482310000018
1995,Cadmium (and its compounds),52.17399999999999
1995,Selenium (and its compounds),26.92
1995,Cobalt (and its compounds),16.596
1996,Lead (and its compounds),3318.423950000001
1996,Arsenic (and its compounds),3075.865014
1996,Cobalt (and its compounds),24.955700000000004
1996,Selenium (and its compounds),24.735
1996,Cadmium (and its compounds),22.105
1997,Lead (and its compounds),4772.216
1997,Arsenic (and its compounds),2084.7620000000006
1997,Cadmium (and its compounds),183.45799999999997
1997,Cobalt (and its compounds),45.074000000000005
1997,Selenium (and its compounds),29.386
1998,Lead (and its compounds),4121.976
1998,Arsenic (and its compounds),2022.44
1998,Cadmium (and its compounds),188.78
1998,Cobalt (and its compounds),84.259
1998,Selenium (and its compounds),30.634
1999,Lead (and its compounds),18239.531000000006
1999,Cadmium (and its compounds),12269.457
1999,Arsenic (and its compounds),1296.4330000000002
1999,Cobalt (and its compounds),69.23100000000001
1999,Selenium (and its compounds),19.017999999999997
2000,Lead (and its compounds),4675.0390000000025
2000,Cadmium (and its compounds),266.91099999999994
2000,Arsenic (and its compounds),215.10699999999994
2000,Cobalt (and its compounds),85.29199999999999
2000,Selenium (and its compounds),31.535
2001,Lead (and its compounds),2981.254
2001,Selenium (and its compounds),966.6959999999999
2001,Cadmium (and its compounds),293.812
2001,Arsenic (and its compounds),236.01299999999992
2001,Cobalt (and its compounds),79.60700000000006
2002,Lead (and its compounds),3551081.0970000005
2002,Cadmium (and its compounds),327845.48799999984
2002,Arsenic (and its compounds),227588.79700000002
2002,Cobalt (and its compounds),75.69399999999999
2002,Selenium (and its compounds),38.973
2003,Lead (and its compounds),3081697.433999999
2003,Arsenic (and its compounds),425756.65399999986
2003,Cadmium (and its compounds),147041.31500000012
2003,Cobalt (and its compounds),90.92
2003,Selenium (and its compounds),82.139
2004,Lead (and its compounds),4496118.710000002
2004,Arsenic (and its compounds),259350.79699999993
2004,Cadmium (and its compounds),196285.8899999999
2004,Cobalt (and its compounds),121.049
2004,Selenium (and its compounds),89.157
2005,Lead (and its compounds),5313838.606999997
2005,Arsenic (and its compounds),348215.6090000001
2005,Cadmium (and its compounds),290583.47800000006
2005,Selenium (and its compounds),91.405
2005,Cobalt (and its compounds),84.033
2006,Lead (and its compounds),32699493.645300005
2006,Arsenic (and its compounds),14289934.24510001
2006,Cadmium (and its compounds),648766.5792
2006,Cobalt (and its compounds),4021.4345000000008
2006,Selenium (and its compounds),546.5162
2007,Lead (and its compounds),35723767.01580001
2007,Arsenic (and its compounds),16139784.761200003
2007,Cadmium (and its compounds),1697377.6862000006
2007,Cobalt (and its compounds),4200.340000000001
2007,Selenium (and its compounds),624.0146000000001
2008,Lead (and its compounds),36372107.92269998
2008,Arsenic (and its compounds),18124860.0442
2008,Cadmium (and its compounds),1052112.5025000002
2008,Cobalt (and its compounds),4451.577300000001
2008,Selenium (and its compounds),611.0558
2009,Lead (and its compounds),34132950.536100015
2009,Arsenic (and its compounds),16643768.977400001
2009,Cadmium (and its compounds),4123385.476499999
2009,Cobalt (and its compounds),3935.8174999999987
2009,Selenium (and its compounds),547.1397000000001
2010,Lead (and its compounds),32791527.587800007
2010,Arsenic (and its compounds),18471699.539099995
